Year,Area,Item,Value
2011,Iran (Islamic Republic of),Diammonium phosphate (DAP),16451.0
2013,Iran (Islamic Republic of),Diammonium phosphate (DAP),54754.0
2014,Iran (Islamic Republic of),Diammonium phosphate (DAP),54754.0
2015,Iran (Islamic Republic of),Diammonium phosphate (DAP),72460.0
2016,Iran (Islamic Republic of),Diammonium phosphate (DAP),31801.0
2003,Iran (Islamic Republic of),NPK fertilizers,372976.0
2004,Iran (Islamic Republic of),NPK fertilizers,402242.0
2005,Iran (Islamic Republic of),NPK fertilizers,484974.0
2006,Iran (Islamic Republic of),NPK fertilizers,438726.0
2007,Iran (Islamic Republic of),NPK fertilizers,148929.0
2008,Iran (Islamic Republic of),NPK fertilizers,4750.0
2009,Iran (Islamic Republic of),NPK fertilizers,175600.0
2010,Iran (Islamic Republic of),NPK fertilizers,25400.0
2011,Iran (Islamic Republic of),NPK fertilizers,132750.0
2012,Iran (Islamic Republic of),NPK fertilizers,1700.0
2013,Iran (Islamic Republic of),"Other nitrogenous fertilizers, n.e.c.",55834.0
2014,Iran (Islamic Republic of),"Other nitrogenous fertilizers, n.e.c.",55834.0
2015,Iran (Islamic Republic of),"Other nitrogenous fertilizers, n.e.c.",55834.0
2016,Iran (Islamic Republic of),"Other nitrogenous fertilizers, n.e.c.",10198.0
2002,Iran (Islamic Republic of),Potassium nitrate,100.0
2003,Iran (Islamic Republic of),Potassium nitrate,500.0
2004,Iran (Islamic Republic of),Potassium sulphate (sulphate of potash) (SOP),3250.0
2005,Iran (Islamic Republic of),Potassium sulphate (sulphate of potash) (SOP),0.0
2006,Iran (Islamic Republic of),Potassium sulphate (sulphate of potash) (SOP),0.0
2009,Iran (Islamic Republic of),Potassium sulphate (sulphate of potash) (SOP),400.0
2010,Iran (Islamic Republic of),Potassium sulphate (sulphate of potash) (SOP),8600.0
2011,Iran (Islamic Republic of),Potassium sulphate (sulphate of potash) (SOP),5800.0
2004,Iran (Islamic Republic of),Superphosphates above 35%,2600.0
2006,Iran (Islamic Republic of),Superphosphates above 35%,1142.0
2007,Iran (Islamic Republic of),Superphosphates above 35%,4842.0
2008,Iran (Islamic Republic of),Superphosphates above 35%,5500.0
2009,Iran (Islamic Republic of),Superphosphates above 35%,1200.0
2011,Iran (Islamic Republic of),Superphosphates above 35%,5850.0
2012,Iran (Islamic Republic of),Superphosphates above 35%,1400.0
2002,Iran (Islamic Republic of),"Superphosphates, other",33151.0
2004,Iran (Islamic Republic of),"Superphosphates, other",0.0
2005,Iran (Islamic Republic of),"Superphosphates, other",0.0
